imdb_id,original_title,year_of_release,genres,imdb_rating,imdb_votes,story,actors
tt8207768,Mere Pyare Prime Minister,2018,['Drama'],6.8,344.0,A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.,"['RasikaAgashe', 'SoniaAlbizuri', 'SynaAnand', 'AdarshBharti', 'MakrandDeshpande', 'OmKanojiya', 'AtulKulkarni', 'AnjaliPatil', 'Prasad', 'NachiketPurnapatre', 'NiteeshWadhwa', '']"
tt9496212,22 Yards,2019,['Sport'],5.3,124.0,A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer.,"['BarunSobti', 'RajitKapur', 'PanchhiBora', 'KartikeyTripathi', '']"
tt6264938,Kesari,2019,"['Action', 'Drama', 'History']",7.4,10653.0,This period war-drama showcases the 1897 Battle of Saragarhi. The plot focuses on Havildar Ishar Singh who led a platoon of 21 Sikhs against an invading army of 10 000 Afghans to defend the North-West Frontier Province. The event is considered as one of the greatest last-stands in history.,"['AkshayKumar', 'ParineetiChopra', 'SuvinderVicky', 'VanshBhardwaj', 'SumeetBasran', 'AjitSingh', 'SandeepNahar', 'HarwinderSinghAujla', 'RakeshSharma', 'AdhritSharma', 'VivekSaini', 'HarbhagwanSingh', 'RajdeepSinghDhaliwal', 'GurpreetToti', '']"
tt9105014,Notebook,2019,"['Drama', 'Romance']",6.8,1335.0,In the Kashmir valley Kabir a former army officer comes as a teacher in a school which was once run by his father.The school has no facilities and is soon to be shut without a teacher.After finding about the new teacher students start to attend the school. But the they don't like Kabir as he is strict.Kabir then comes across the diary of previous teacher Firdaus and adopts her way of teaching and becomes friend of the students.He gets to know more about Firdaus and wants to know where and what she is doing presently.,"['ZaheerIqbal', 'PranutanBahl', 'MirMohammedMehroos', 'MirMohammedZayan', 'SolihaMaqbool', 'BabaHatim', 'AdibaBhat', 'HafsaAshraf', 'Madikha', 'Bareen', 'MozimBhat', 'MirSarwar', 'HemantKher', 'ShryshZutshi', '']"
tt7463730,Junglee,2019,"['Action', 'Adventure']",5.3,1064.0,Dipankar Nair runs a Elephant sanctuary but things have turned bad as hunters are frequently killing Elephants for their tusks.His son Raj a Vet in Mumbai arrives for 10th death anniversary of his mother befriends his childhood animals Bhola and Didi.Keshav an hunter has an eye on huge tusks of Bhola which could fetch good money.Keshav kills Bhola for his tusks and also Dipankar who tries to save him.The cops arrive at funeral of Dipankar and falsely implicate him of being with hunters and also frame Raj for it.,"['VidyutJammwal', 'LarsKjeldsen', '']"
tt10017956,Gone Kesh,2019,['Drama'],7.1,178.0,Enakshi is diagnosed with Alopecia  where she begins to lose hair from her scalp. Although she finds her temporary fix to this  it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?,"['DeepikaAmin', 'KumarKanchanGhosh', 'BrijendraKala', 'JitendraKumar', 'MukeshPandey', 'SantoshRai', 'VipinSharma', '']"
tt4355838,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,['Drama'],4.8,56.0,Albert leaves his house one morning without telling anyone where he is going. His girlfriend Stella files a complaint with the police and when he doesn't return after days  she begins to fear. What she doesn't know is that Albert is traversing a road journey from Mumbai to Goa. Nayar who drives the vehicle accompanies him on his mission. Punctuating their cynical  witty and devastating conversations  we see Albert's flashbacks of a world where he and Stella try and weave a life together. Albert's anger stems from experiences that life has presented to him. It is this anger that is taking him on a journey to settle a score and enable him to lead a life of dignity and hope.,"['ManavKaul', 'NanditaDas', '']"
tt8108268,The Tashkent Files,2019,"['Drama', 'Mystery', 'Thriller']",8.0,5524.0,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,"['NaseeruddinShah', 'MithunChakraborty', 'ShwetaBasuPrasad', 'PankajTripathi', 'VinayPathak', 'MandiraBedi', 'RajeshSharma', 'PrakashBelawadi', 'AnkurRathee', '']"
tt6988116,Kalank,2019,"['Drama', 'Romance']",3.6,9106.0,Set in 1945  in Pre-Independent India  the elite  opulent and solemn world of the Chaudhry family  and the wild  mysterious and musical underbelly of the town  Hira Mandi  clash when Roop Chaudhry encounters Zafar  a daredevil from Hira Mandi  unleashing deep-buried truths  secrets of betrayal and affairs that threaten to bring the both worlds crashing down.,"['VarunDhawan', 'AliaBhatt', 'AdityaRoyKapoor', 'MadhuriDixit', 'SonakshiSinha', 'SanjayDutt', 'KunalKhemu', 'PawanChopra', '']"
tt9239772,Setters,2019,['Thriller'],5.1,158.0,"A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  and the other a ""setter"" who arranges brilliant students in place of weak students to appear in examinations.","['ShreyasTalpade', 'AftabShivdasani', 'SonnalliSeygall', 'IshitaDutta', 'PavanMalhotra', 'VijayRaaz', 'ManuRishiChadha', 'AnilCharanjeett', 'PankajJha', 'JameelKhan', 'NiharikaKundu', 'TanukaLaghate', 'VenusSingh', 'NeerajSood', '']"
tt7255568,Student of the Year 2,2019,"['Drama', 'Romance', 'Sport']",2.5,12671.0,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,"['TigerShroff', 'AnanyaPanday', 'TaraSutaria', 'AdityaSeal', 'ManojPahwa', 'AyeshaRaza', 'RajeshKumar', 'ManasiJoshiRoy', 'SamirSoni', 'GulPanag', 'ManjotSingh', 'SahilAnand', 'HarshBeniwal', 'DaljeetSinghGujral', '']"
tt9558612,PM Narendra Modi,2019,"['Biography', 'Drama']",3.3,4484.0,Biography of India's Prime Minister Shri Narendra Modi.,"['BomanIrani', 'VivekOberoi', 'BarkhaBisht', 'DarshanKumaar', 'ZarinaWahab', 'ManojJoshi', 'SureshOberoi', 'PrashantNarayanan', 'YatinKaryekar', 'RajendraGupta', 'AnjanSrivastav', 'ImranHasnee', 'JayBhatt', 'AkshatRSaluja', '']"
