imdb_id,original_title,tags
tt10017956,Gone Kesh,drama enakshi is diagnosed with alopecia where she begins to lose hair from her scalp. although she finds her temporary fix to this it begins to steal previous years of her youth and takes her life by a storm. will she be able to find a cure? deepikaamin kumarkanchanghosh brijendrakala jitendrakumar mukeshpandey santoshrai vipinsharma 
tt4355838,Albert Pinto Ko Gussa Kyun Aata Hai?,drama albert leaves his house one morning without telling anyone where he is going. his girlfriend stella files a complaint with the police and when he doesn't return after days she begins to fear. what she doesn't know is that albert is traversing a road journey from mumbai to goa. nayar who drives the vehicle accompanies him on his mission. punctuating their cynical witty and devastating conversations we see albert's flashbacks of a world where he and stella try and weave a life together. albert's anger stems from experiences that life has presented to him. it is this anger that is taking him on a journey to settle a score and enable him to lead a life of dignity and hope. manavkaul nanditadas 
tt8108268,The Tashkent Files,drama mystery thriller the tashkent files is a thriller that revolves around the mysterious death of india's 2nd prime minister shri lal bahadur shastri and attempts to uncover if he had actually died a natural death or as alleged was assassinated. naseeruddinshah mithunchakraborty shwetabasuprasad pankajtripathi vinaypathak mandirabedi rajeshsharma prakashbelawadi ankurrathee 
tt6988116,Kalank,drama romance set in 1945 in pre-independent india the elite opulent and solemn world of the chaudhry family and the wild mysterious and musical underbelly of the town hira mandi clash when roop chaudhry encounters zafar a daredevil from hira mandi unleashing deep-buried truths secrets of betrayal and affairs that threaten to bring the both worlds crashing down. varundhawan aliabhatt adityaroykapoor madhuridixit sonakshisinha sanjaydutt kunalkhemu pawanchopra 
tt9239772,Setters,"thriller a thriller set in benares jaipur mumbai and delhi setters is about a racket profiteering from academic scams. the film follows a cat-and-mouse game between two good friends: one a cop and the other a ""setter"" who arranges brilliant students in place of weak students to appear in examinations. shreyastalpade aftabshivdasani sonnalliseygall ishitadutta pavanmalhotra vijayraaz manurishichadha anilcharanjeett pankajjha jameelkhan niharikakundu tanukalaghate venussingh neerajsood "
tt7255568,Student of the Year 2,drama romance sport a student must face off against bullies and overcome hurdles both academic and romantic to win his college's coveted student of the year trophy. tigershroff ananyapanday tarasutaria adityaseal manojpahwa ayesharaza rajeshkumar manasijoshiroy samirsoni gulpanag manjotsingh sahilanand harshbeniwal daljeetsinghgujral 
tt9558612,PM Narendra Modi,biography drama biography of india's prime minister shri narendra modi. bomanirani vivekoberoi barkhabisht darshankumaar zarinawahab manojjoshi sureshoberoi prashantnarayanan yatinkaryekar rajendragupta anjansrivastav imranhasnee jaybhatt akshatrsaluja 
tt8647400,De De Pyaar De,comedy romance a 50 year old aashish living london away from his family fro many years he falls in love with a 26 year ayesha.thou officially not divorced from his first wife manju.aashish wants her permission to get married to ayesha.upon reaching his house in india ayesha finds that aashish kids are of the same age as her.aashish introduces ayesha as his secretary to his family he also finds that his daughter is about to get married and vk whose become close family friend is trying to woo her manju. ajaydevgn tabu rakulpreetsingh jimmysheirgill aloknath madhumaltikapoor harryanton gergobaranyi sammyjohnheaney bhavinbhanushali gandharvdewan gulnaazkhan kumudmishra sunnysinghnijjar 
tt8484942,India's Most Wanted,action thriller india's most wanted is a bollywood action thriller film directed by raj kumar gupta and starring arjun kapoor. the film is about tracking a terrorist in a secret mission and arresting him without firing bullets. it pays tribute to unsung heroes of our society. arjunkapoor sudevnair rajeshsharma prasanth santilalmukherjee 
tt5525846,Yeh Hai India,"action adventure drama yeh hai india follows the story of a 25 years old nri who is born and brought up in u.k and shares the same stereotype views of india which is known for its vast population pollution and poverty. however protagonist finds new development in media or probably an 'other side of same coin' of india which is also known for successful mars mission in first attempt a nation which proudly holds title 'god of cricket' for sachin tendulkar who is again an indian and a nation which is known for its holy generosity with icons like mother teresa"". gaviechahal mohanagashe mohanjoshi lomharsh "
tt8268972,Khamoshi,horror thriller a remake of an english movie hush (2016) where a deaf and mute girl must fight for her life when a killer appears at her door. prabhudeva tamannaahbhatia bhoomikachawla 
tt8983202,Kabir Singh,drama romance this sandeep vanga directorial is a remake of the 2017 telugu movie arjun reddy. the plot revolves around an alcoholic surgeon battling temper issues. things get worse as he watches the love of his life marry another man. high on emotions coupled with impressive action the film promises an intense watch. shahidkapoor kiaraadvani sohammajumdar arjanbajwa sureshoberoi kaminikaushal adilhussain nikitadutta amitsharma anuragarora dollymattoo aanchalchauhan suparnamarwah swatiseth 
tt10324144,Article 15,crime drama in the rural heartlands of india an upright police officer sets out on a crusade against violent caste-based crimes and discrimination. ayushmannkhurrana nassar manojpahwa kumudmishra ishatalwar sayanigupta mohammedzeeshanayyub subhrajyotibarat sushilpandey aakashdabhade ashishverma ronjinichakraborty veen sumbultouqueer 
tt8130558,One Day: Justice Delivered,action crime thriller a crime branch special officer investigates the serial disappearance of high profile individuals in a state capital. anupamkher kumudmishra eshagupta zakirhussain rajeshsharma murlisharma deepshikanagpal 
tt6862542,Hume Tumse Pyaar Kitna,action drama romance it is about limerence of dhruv (played by bohra) resulting from an obsessive attraction to ananya (played by banerjee). karanvirbohra priyabanerjee 
tt7485048,Super 30,biography drama anand kumar a mathematics genius from a modest family in bihar who is made to believe that only a king's son can become a king is on a mission to prove that even the poor man can create some of the world's most genius minds. he starts a training program named 'super 30' to help 30 iit aspirants crack the entrance test and make them highly successful professionals. hrithikroshan mrunalthakur nandishsingh virendrasaxena sadhanasingh adityasrivastava sanketdeshpande pankajtripathi vaibhavgupta alihaji rajeshsharma deepalikumar chittaranjangiri ganeshkumar 
tt8897986,Family of Thakurganj,action drama the film is based on small town of north india. film's story is about confrontation of love and thoughts. along with entertainment. jimmysheirgill mahiegill nandishsingh pranatiraiprakash saurabhshukla sudhirpandey supriyapilgaonkar pavanmalhotra yashpalsharma mukeshtiwari rajzutshi salilacharya shivikarishi lokeshtilakdhari 
